Date,d15cm_unified,d45cm_unified,d75cm_unified,temp_inst,temp_med,temp_min,umid_inst,umid_med,umid_min,pto_orvalho_inst,pto_orvalho_med,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel,vento_rajada,radiacao,precipitacao,EToPM
2016-03-31 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-04-01 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-04-02 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-04-03 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-04-04 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-04-05 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-04-06 00:00:00.000,NaN,NaN,NaN,28.4291666666667,34.1,25.5,68.625,82,45,21.8166666666667,23,19.6,100.000833333333,1002,997.6,4.00416666666667,109.833333333333,8.52083333333333,16.69512,0,7.9497140505683
2016-04-07 00:00:00.000,NaN,NaN,NaN,28.5333333333333,35,25.4,55.4166666666667,75,28,18.0333333333333,21.3,12.8,100.325833333333,1004.9,1001.1,4.65833333333333,117.25,9.9375,20.069832,0,11.4171800270669
2016-04-08 00:00:00.000,NaN,NaN,NaN,28.7708333333333,35.9,25.3,54.5,76,24,17.7666666666667,21.4,11.7,100.18125,1003.7,999.5,4.1375,114.625,9.225,21.858907,0,11.5294987021931
2016-04-09 00:00:00.000,NaN,NaN,NaN,28.5291666666667,36.5,24.7,57.5833333333333,76,25,18.5625,20.8,12.7,100.129583333333,1003.6,998.8,4.89583333333333,112.833333333333,11.0666666666667,24.72984,0,11.9748602201423
2016-04-10 00:00:00.000,NaN,NaN,NaN,29.0958333333333,36.3,25,54.0833333333333,76,28,18.0541666666667,21.2,14.2,99.87125,1001.2,995.9,5.50833333333333,108.333333333333,10.5625,19.99269,0,11.6212299670051
